corpus_size,bilingual_size,avg_sim_test,wordsim_dataset,correlation_score,p_value,exec_time
109417858,11291,0.460361151675723,1,0.40772481834973157,0.0010044197580607889,7.764493227005005
109417858,11291,0.460361151675723,2,0.36811292967456394,1.1644664231256432e-08,7.764493227005005
109417858,11291,0.460361151675723,3,0.50129238477242899,3.5824595064978066e-172,7.764493227005005
109417858,11291,0.460361151675723,4,0.61446666304488817,4.5040994174542517e-28,7.764493227005005
136772323,4516,0.43628039438405281,0,0.27115870202140174,0.16279578044658835,7.585545063018799
136772323,4516,0.43628039438405281,1,0.40066594793015281,0.0012510083033308544,7.585545063018799
136772323,4516,0.43628039438405281,2,0.36558142227288692,1.4905360662601263e-08,7.585545063018799
136772323,4516,0.43628039438405281,3,0.49667137828932834,1.4578194986858676e-168,7.585545063018799
136772323,4516,0.43628039438405281,4,0.61301459693003213,6.5005836544951021e-28,7.585545063018799
136772323,6774,0.44759283191983307,0,0.27379753847996779,0.15858247041059739,7.6464009284973145
136772323,6774,0.44759283191983307,1,0.41570078562746066,0.00077922188635888426,7.6464009284973145
136772323,6774,0.44759283191983307,2,0.3707787473606855,8.9581370593401907e-09,7.6464009284973145
136772323,6774,0.44759283191983307,3,0.49962245932558086,7.3280399735452918e-171,7.6464009284973145
136772323,6774,0.44759283191983307,4,0.62031698253651746,1.0073180541225097e-28,7.6464009284973145
136772323,9032,0.45357974528689338,0,0.28048431314451594,0.1482549629513023,7.856263875961304
136772323,9032,0.45357974528689338,1,0.4202038699824055,0.00067330102541153253,7.856263875961304
136772323,9032,0.45357974528689338,2,0.37499085212431349,5.8900302059369191e-09,7.856263875961304
136772323,9032,0.45357974528689338,3,0.50614268192789458,5.0741934622636197e-176,7.856263875961304
136772323,9032,0.45357974528689338,4,0.62515002640428374,2.8537085997905285e-29,7.856263875961304
136772323,11291,0.45874014929248669,0,0.29365583515255761,0.12934213958193702,8.066593885421753
136772323,11291,0.45874014929248669,1,0.43140144847764361,0.00046405476024269707,8.066593885421753
136772323,11291,0.45874014929248669,2,0.37708270999065124,4.7720987006686999e-09,8.066593885421753
136772323,11291,0.45874014929248669,3,0.51159088815011855,2.0290336801215114e-180,8.066593885421753
136772323,11291,0.45874014929248669,4,0.62682970269948668,1.8314268097526476e-29,8.066593885421753
