corpus_size,bilingual_size,red_mean_sq_error,evaluation_dataset,correlation_score,p_value,exec_time
109417858,6774,53.513720855164578,2,0.60341962569787444,7.0059885676837872e-27,8.538623094558716
109417858,6774,53.513720855164578,3,0.48566111069733814,3.5776025430756111e-46,8.538623094558716
109417858,9032,53.939426047994957,0,0.3695684507845734,1.0093956241557854e-08,8.774111032485962
109417858,9032,53.939426047994957,1,0.49767052752831925,2.4431581259026152e-169,8.774111032485962
109417858,9032,53.939426047994957,2,0.61158250219957166,9.3175088103240376e-28,8.774111032485962
109417858,9032,53.939426047994957,3,0.48840780005398593,9.4322040932699481e-47,8.774111032485962
109417858,11291,54.191180271114206,0,0.36811292967456394,1.1644664231256432e-08,9.223819971084595
109417858,11291,54.191180271114206,1,0.50129238477242899,3.5824595064978066e-172,9.223819971084595
109417858,11291,54.191180271114206,2,0.61446666304488817,4.5040994174542517e-28,9.223819971084595
109417858,11291,54.191180271114206,3,0.48993528958288957,4.4704137564320919e-47,9.223819971084595
136772323,4516,53.596476118443462,0,0.36558142227288692,1.4905360662601263e-08,7.684096097946167
136772323,4516,53.596476118443462,1,0.49667137828932834,1.4578194986858676e-168,7.684096097946167
136772323,4516,53.596476118443462,2,0.61301459693003213,6.5005836544951021e-28,7.684096097946167
136772323,4516,53.596476118443462,3,0.47506439751284935,5.4782626127263142e-44,7.684096097946167
136772323,6774,54.321762118306772,0,0.3707787473606855,8.9581370593401907e-09,7.751274108886719
136772323,6774,54.321762118306772,1,0.49962245932558086,7.3280399735452918e-171,7.751274108886719
136772323,6774,54.321762118306772,2,0.62031698253651746,1.0073180541225097e-28,7.751274108886719
136772323,6774,54.321762118306772,3,0.48643539686965237,2.4598645316430925e-46,7.751274108886719
136772323,9032,54.739949910079787,0,0.37499085212431349,5.8900302059369191e-09,7.968852996826172
136772323,9032,54.739949910079787,1,0.50614268192789458,5.0741934622636197e-176,7.968852996826172
136772323,9032,54.739949910079787,2,0.62515002640428374,2.8537085997905285e-29,7.968852996826172
136772323,9032,54.739949910079787,3,0.48831699556057256,9.8591212853055139e-47,7.968852996826172
136772323,11291,54.967522436955043,0,0.37708270999065124,4.7720987006686999e-09,8.176331996917725
136772323,11291,54.967522436955043,1,0.51159088815011855,2.0290336801215114e-180,8.176331996917725
136772323,11291,54.967522436955043,2,0.62682970269948668,1.8314268097526476e-29,8.176331996917725
136772323,11291,54.967522436955043,3,0.48821140247925432,1.0379752311755457e-46,8.176331996917725
